Organization Name,Organization Name URL,Categories,Headquarters Location,Description,CB Rank (Company)
Paytm,https://www.crunchbase.com/organization/paytm,"E-Commerce, Finance, Internet, Marketplace, Mobile Apps, Mobile Payments","Noida, Uttar Pradesh, India",Paytm is an Indian electronic payment and e-commerce brand based out of Delhi NCR.,32
Pantera Capital,https://www.crunchbase.com/organization/pantera-capital,"Bitcoin, Financial Services, Venture Capital","Menlo Park, California, United States","Pantera Capital is an investment firm focused exclusively on Bitcoin, other digital currencies and companies in the space.",33
PayPal,https://www.crunchbase.com/organization/paypal,"E-Commerce, E-Commerce Platforms, Finance, FinTech, Mobile Payments, Payments, Transaction Processing","San Jose, California, United States",PayPal provides online payment solutions to its users worldwide.,51
Pipedrive,https://www.crunchbase.com/organization/pipedrive,"CRM, SaaS, Sales Automation, Software","New York, New York, United States",Pipedrive is a CRM platform that helps small- to medium-sized businesses sell more.,84
Propeller Health,https://www.crunchbase.com/organization/propellerhealth,"Analytics, Health Care, Medical","Madison, Wisconsin, United States","Propeller Health is a mobile platform that offers sensors, mobile apps, analytics, and services to support respiratory health management.",90
Patreon,https://www.crunchbase.com/organization/patreon,"Music, Sponsorship, Video","San Francisco, California, United States",Patreon enables fans and sponsors to give ongoing support to artists and creators.,102
Pinterest,https://www.crunchbase.com/organization/pinterest,"Social Bookmarking, Social Media, Travel","San Francisco, California, United States",Pinterest is a visual bookmarking tool for saving and discovering creative ideas.,112
Postmates,https://www.crunchbase.com/organization/postmates,"Delivery, Food Delivery, Logistics, Same Day Delivery, Transportation","San Francisco, California, United States","Postmates powers local, on-demand logistics focused on fast deliveries from any type of merchant at scale.",157
Plaid,https://www.crunchbase.com/organization/plaid,"Financial Services, FinTech, Software","San Francisco, California, United States",Plaid is an API to power developers of financial services applications and help them connect with user bank accounts.,161
Partners Group,https://www.crunchbase.com/organization/partners-group,"Finance, Financial Services, Venture Capital","Baar, Zug, Switzerland","Partners Group are a unique, global alternative asset manager with strong Swiss roots, proactively providing their international client",196
Ping Identity Corporation,https://www.crunchbase.com/organization/ping-identity-corporation,"FinTech, Government, Identity Management, Security","Denver, Colorado, United States",Ping Identity Corporation provides cloud-based identity management software for companies and government organizations.,211
PlanGrid,https://www.crunchbase.com/organization/plangrid,"Android, Building Maintenance, Collaboration, Construction, Green Building, iOS, Mobile","San Francisco, California, United States","PlanGrid is a cloud-based productivity software that help owners, GCs, and subs collaborate on blueprints & building docs from any device.",241
PatSnap ,https://www.crunchbase.com/organization/patsnap,"Analytics, Computer, Search Engine, Software","Singapore, Central Region, Singapore",PatSnap provides scientists with a new source of information for use during research.,252
Paxos,https://www.crunchbase.com/organization/paxos,"Finance, Financial Services, FinTech","New York, New York, United States",Paxos is a financial technology company delivering pioneering blockchain solutions for global financial institutions.,257
Pure Storage,https://www.crunchbase.com/organization/pure-storage,"Cloud Computing, Data Storage, Enterprise Software","Mountain View, California, United States",Pure Storage is an all-flash enterprise storage company that enables broad deployment of flash in data centers.,289
PhonePe,https://www.crunchbase.com/organization/phonepe,"Internet, Mobile Payments, Payments","Bangalore, Karnataka, India","Our goal is to make digital payments so easy, safe & universally accepted that people never feel the need to carry cash or cards again.",307
Podium,https://www.crunchbase.com/organization/podium-2,"Consumer Reviews, Messaging, SaaS, Software","Lehi, Utah, United States",Podium is a customer communication platform for businesses who interact with customers on a local level.,310
Pine Labs,https://www.crunchbase.com/organization/pinelabs,"Billing, Information Technology, Payments, Point of Sale","Noida, Uttar Pradesh, India",Pine Labs is a provider of retail POS solutions that simplify payment acceptance.,369
Peek,https://www.crunchbase.com/organization/peek-com,"Internet, Marketplace, Mobile, SaaS, Tourism, Travel","San Francisco, California, United States","Peek is a travel activities marketplace based in San Francisco, California.",401
PlayVS,https://www.crunchbase.com/organization/playvs,"Computer, eSports, Gaming, PC Games","Los Angeles, California, United States",PlayVS is an esports league that gives high school students the chance to compete for a state championship.,407
Propeller Aero,https://www.crunchbase.com/organization/propeller-aerobotics,"Drone Management, Drones, Geospatial, Industrial, Industrial Automation, Mapping Services","New South Wales, Australia, Oceania",Propeller is a global leader in drone-mapping and analytics solutions that give worksites the power to measure and manage themselves.,439
