Organization Name,Organization Name URL,Categories,Headquarters Location,Description,CB Rank (Company)
Video++,https://www.crunchbase.com/organization/video-7010,Video,"Shanghai, Shanghai, China",Video++,26
VictorOps,https://www.crunchbase.com/organization/victorops,"Collaboration, Enterprise Software, IT Management, Mobile, Web Development","Boulder, Colorado, United States",VictorOps offers an incident management and IT alerting platform for DevOps teams.,143
Verizon Communications,https://www.crunchbase.com/organization/verizon,"Communications Infrastructure, Information Technology, Mobile, Telecommunications","New York, New York, United States",Verizon Communications is a broadband and telecommunications company that provides information and entertainment services.,145
Virgin Hyperloop One,https://www.crunchbase.com/organization/hyperloop-technolgies,"Industrial Engineering, Manufacturing, Transportation, Travel","Los Angeles, California, United States",Hyperloop One reinvents transportation to eliminate barriers of time.,232
Vice Media,https://www.crunchbase.com/organization/vice,"News, Publishing, Video, Video Streaming","Brooklyn, New York, United States","Vice Media is engaged in print, event, music, online, television, and feature film business activities.",299
VIPKID,https://www.crunchbase.com/organization/vipkid,"E-Learning, Education, Internet","Beijing, Beijing, China",VIPKID provides an international learning experience to children in China between the ages 4-12.,348
Valimail,https://www.crunchbase.com/organization/valimail,"Cyber Security, Email, Internet","San Francisco, California, United States",Valimail authenticates legitimate email and blocks phishing attacks.,350
Venmo,https://www.crunchbase.com/organization/venmo,"Finance, Mobile, Payments","New York, New York, United States",Venmo offers an app that allows users to share and make payments with friends for a variety of services from.,380
Vivint Solar,https://www.crunchbase.com/organization/vivint-solar,"Clean Energy, Energy, Solar","Lehi, Utah, United States","Vivint Solar is a leading provider of simple, affordable solar solutions and one of the fastest growing residential solar power providers",381
Vox Media,https://www.crunchbase.com/organization/vox-media,"Advertising Platforms, Digital Media, Internet, Journalism, Lifestyle, Sports","Washington, District of Columbia, United States",Vox Media Inc. is an American digital media company.,390
Veriff,https://www.crunchbase.com/organization/veriff,"Information Technology, Internet, Security","Tallinn, Harjumaa, Estonia",Veriff provides web and mobile identity verification solutions that help reduce fraud and meet KYC requirements.,434
Volvo Cars Group,https://www.crunchbase.com/organization/volvo-car-corporation,"Automotive, Mobile, Transportation","Sweden, Europe",Volvo Car Group is a Swedish automobile manufacturer.,548
ViaSat,https://www.crunchbase.com/organization/viasat,"Broadcasting, Communications Infrastructure, Mobile, Optical Communication, Social Media","Carlsbad, California, United States","ViaSat produces satellite and other digital communication products that enable fast, secure, and efficient communications to any location.",549
Vivint Smart Home,https://www.crunchbase.com/organization/vivint,"Artificial Intelligence, Internet of Things, Security, Smart Home","Provo, Utah, United States",Vivint Smart Home is the leading provider of smart home services in North America.,601
Velodyne LiDAR,https://www.crunchbase.com/organization/velodyne-lidar,"Autonomous Vehicles, Manufacturing, Robotics, Sensor","Morgan Hill, California, United States","Velodyne LiDAR, Inc. is a leading developer, manufacturer and supplier of high performance LiDAR sensors.",789
Valeant Pharmaceuticals International,https://www.crunchbase.com/organization/valeant-pharmaceuticals-international,"Biotechnology, Health Care, Medical, Pharmaceutical","Aliso Viejo, California, United States","Valeant Pharmaceuticals International develops and markets medications used in the fields of neurology, dermatology and infectious diseases.",794
Verity Studios,https://www.crunchbase.com/organization/verity-studios,"Drones, Machine Learning, Robotics","Zürich, Zurich, Switzerland",Verity Studios develops interactive and autonomous flying machines.,886
Valencell,https://www.crunchbase.com/organization/valencell,"Fitness, Hardware, Medical, Personal Health, Sensor, Software, Wearables, Wellness","Raleigh, North Carolina, United States",Valencell develops performance biometric sensor technology and provides this patent-protected technology to wearables and hearables OEM's.,911
Vium,https://www.crunchbase.com/organization/mousera,"Biotechnology, Life Science, Medical Device","San Mateo, California, United States","Vium, Inc. develops medical technology. The company is headquartered in the United States.",922
Versa Networks,https://www.crunchbase.com/organization/versa-networks,"Network Hardware, Network Security, Telecommunications","San Jose, California, United States",Versa Networks is an innovative vendor in the SD-WAN and SD-Security market.,968
Vonage,https://www.crunchbase.com/organization/vonage,"Messaging, Mobile, Telecommunications","Holmdel, New Jersey, United States",Vonage offers VoIP services that enable anyone to make and receive calls from a touch tone telephone by using a broadband connection.,"1,025"
VidMob,https://www.crunchbase.com/organization/vidmob,"Advertising Platforms, Marketplace, Social Media Advertising, Video","New York, New York, United States", The world's leading video creation network and platform.,"1,125"
Verily,https://www.crunchbase.com/organization/verily-2,"Data Mining, Health Care, Personal Health","San Francisco, California, United States","Verily develops tools and devices to collect, organize and activate health data.","1,128"
Vectra Networks,https://www.crunchbase.com/organization/vectra-networks,"Cyber Security, Network Security, Security","San Jose, California, United States",Vectra Networks is a patent-pending X-series security platform that instantly identifies cyber-attacks while they are happening.,"1,138"
Voyage,https://www.crunchbase.com/organization/voyage,"Automotive, Autonomous Vehicles, Public Transportation","Santa Clara, California, United States",Voyage serves communities with autonomous vehicles,"1,194"
Via,https://www.crunchbase.com/organization/via-transportation,"Mobile Apps, Real Time, Ride Sharing, Transportation, Travel","New York, New York, United States",Via is on-demand transit on a mass scale.,"1,229"
Vacasa,https://www.crunchbase.com/organization/vacasa,"Tourism, Travel, Vacation Rental","Portland, Oregon, United States"," Vacasa is a leading vacation rental management company and currently manages more than 7,000 vacation homes around the world.","1,246"
View,https://www.crunchbase.com/organization/view-inc,"Internet of Things, Nanotechnology, Smart Building","Milpitas, California, United States",View commercializes dynamic glass that tints automatically in response to weather conditions and user preference.,"1,366"
Vicarious,https://www.crunchbase.com/organization/vicarious-systems-inc,"Artificial Intelligence, Machine Learning, Robotics","San Francisco, California, United States",Vicarious is an artificial intelligence company that uses the computational principles of the brain to develop general intelligence for robo,"1,387"
Vertex Pharmaceuticals,https://www.crunchbase.com/organization/vertex-pharmaceuticals,"Biotechnology, Medical, Pharmaceutical","Abingdon, Oxfordshire, United Kingdom",Vertex Pharmaceuticals is focused on the discovery and development of small molecule drugs for the treatment of serious diseases.,"1,394"
