Organization Name,Organization Name URL,Categories,Headquarters Location,Description,CB Rank (Company)
Meituan-Dianping,https://www.crunchbase.com/organization/dianping,"Advertising, Apps, Guides, Information Services, Internet, Local Business","Shanghai, Shanghai, China",Meituan-Dianping is a Chinese mobile internet company operating a local life information and trading platform.,31
Macquarie Group,https://www.crunchbase.com/organization/macquarie-group,"Banking, Finance, Financial Services","Sydney, New South Wales, Australia","Macquarie Group is a global provider of banking, financial, advisory, investment and funds management services.",39
Magento Commerce,https://www.crunchbase.com/organization/magento,"Cloud Computing, E-Commerce, Enterprise Software, Health Care, Internet, Open Source","Campbell, California, United States",Magento is the leading platform for open commerce innovation.,65
Mercari,https://www.crunchbase.com/organization/mercari,"E-Commerce, Internet, Mobile","Tokyo, Tokyo, Japan","Mercari is the biggest community-powered shopping app from Japan, for anyone to buy and sell anything, from anywhere, in seconds.",69
MoviePass,https://www.crunchbase.com/organization/moviepass,"Apps, Media and Entertainment, Subscription Service","New York, New York, United States",MoviePass employs location-based technologies to allow individuals to watch movies at local theaters for a fixed monthly price.,89
M17 Entertainment,https://www.crunchbase.com/organization/m17-entertainment,"Apps, Photo Sharing, Social Media, Video Streaming","Taiwan, Asia","M17 Entertainment is a live streaming company, enables its users to livestream, share photos, upload videos, and interact with streamers.",118
Magic,https://www.crunchbase.com/organization/magic,"Apps, Artificial Intelligence, B2B, Customer Service, Messaging, Mobile, Outsourcing, Task Management, Virtual Assistant","San Francisco, California, United States",Magic provides a 24/7 SMS based on-demand personal assistant service.,130
MobiKwik,https://www.crunchbase.com/organization/mobikwik,"Internet, Mobile, Mobile Payments, Payments, Telecommunications","Gurgaon, Haryana, India","MobiKwik is a popular mobile wallet app in India. Millions of Indians use it for shopping, P2P money transfer, & bill payments.",132
Mayo Clinic,https://www.crunchbase.com/organization/mayoclinic,"Biotechnology, Health Care, Medical, Non Profit","Rochester, Minnesota, United States",MayoClinic a nonprofit medical practice and medical research group,134
Marqeta,https://www.crunchbase.com/organization/marqeta,"FinTech, Payments, Transaction Processing","Oakland, California, United States",Marqeta provides access to a developer friendly Issuer Processor API for commerce innovators.,170
Memrise,https://www.crunchbase.com/organization/memrise,"EdTech, Education, Language Learning, Software","London, England, United Kingdom","Memrise is a language learning platform available in iOS, android, and web.",180
Microsoft,https://www.crunchbase.com/organization/microsoft,"Artificial Intelligence, Cloud Computing, Collaboration, Consumer Electronics, Developer Tools, Enterprise Software, Operating Systems","Redmond, Washington, United States","Microsoft is a software corporation that develops, manufactures, licenses, supports, and sells a range of software products and services.",184
Meesho,https://www.crunchbase.com/organization/meesho,"E-Commerce, E-Commerce Platforms, Internet, Mobile Apps, Social Media","Bangalore, Karnataka, India","Meesho is an online reseller network of housewives and SMBs, who sell products within their network on social channels.",202
Monzo,https://www.crunchbase.com/organization/mondo,"Banking, Finance, FinTech","London, England, United Kingdom",Monzo is a London-based digital-only bank platform.,203
Mobike,https://www.crunchbase.com/organization/mobike,"Cycling, Health Care, Transportation","Beijing, Beijing, China",Mobike provides an affordable means of shared transportation for convenient short urban trips.,208
MuleSoft,https://www.crunchbase.com/organization/mulesoft,"Apps, Developer APIs, Enterprise Software, FinTech","San Francisco, California, United States",MuleSoft is a provider of the leading platform for building application networks.,221
Managed by Q,https://www.crunchbase.com/organization/managed-by-q,"Enterprise Software, Office Administration, Operating Systems, Professional Services","New York, New York, United States","Managed by Q provides subscription and on-demand office services, from cleaning and maintenance to supply replenishment and wellness.",239
Modern Fertility,https://www.crunchbase.com/organization/modern-fertility,"Fitness, Health Care, Personal Health, Wellness, Women's","San Francisco, California, United States",Modern Fertility is a women's health company closing the fertility information gap by letting women test key fertility hormones at home. ,285
Mobileye,https://www.crunchbase.com/organization/mobileye-vision-technologies,"Analytics, Automotive, Fleet Management, Transportation","Amstelveen, Noord-Holland, The Netherlands",Mobileye is a technology company developing vision-based advanced driver assistance systems that help prevent and mitigate collisions.,292
MGM Resorts International,https://www.crunchbase.com/organization/mgm-resorts-international,"Hospitality, Resorts","Las Vegas, Nevada, United States","MGM Resorts International is a hospitality firm that operates casinos, restaurants, and recreational resorts.",293
MasterClass,https://www.crunchbase.com/organization/masterclass,"Digital Media, Education, Internet","San Francisco, California, United States",MasterClass offers online classes from the world's best.,297
Malwarebytes,https://www.crunchbase.com/organization/malwarebytes,"Computer, Enterprise Software, Security, Software","Santa Clara, California, United States","Cybersecurity solution that protects people and businesses against dangerous threats such as malware, ransomware, and exploits",302
MyRepublic,https://www.crunchbase.com/organization/myrepublic,"Internet, ISP, Telecommunications","Singapore, Central Region, Singapore",MyRepublic is a telecom company that provides internet access and broadband-based services to consumers and businesses in Singapore.,313
MedMen,https://www.crunchbase.com/organization/medmen,"Asset Management, Finance, Marijuana, Service Industry","Culver City, California, United States","MedMen owns and operates licensed cannabis facilities in cultivation, manufacturing and retail.",331
Mindstrong Health,https://www.crunchbase.com/organization/mindstrong-health,"Biopharma, Biotechnology, Health Care","Palo Alto, California, United States",Mindstrong Health is transforming the diagnosis and treatment of behavioral health disorders through the ubiquity of mobile technology,333
Mapbox,https://www.crunchbase.com/organization/mapbox,"Business Intelligence, Cloud Computing, Data Visualization, Enterprise Software, Location Based Services, Mapping Services, Open Source","Washington, District of Columbia, United States",Mapbox is a location data platform for mobile and web applications.,357
"Merck & Co., Inc.",https://www.crunchbase.com/organization/merck-co-inc,"Biotechnology, Health Care, Medical","Whitehouse Station, New Jersey, United States",Merck is a global healthcare leader working to help the world be well. Merck is known as MSD outside the United States and Canada.,368
Meituan.com,https://www.crunchbase.com/organization/meituan-com,"Consumer, E-Commerce, Group Buying, Internet","Beijing, Beijing, China","Meituan.com is a group-buying website specializing in localized consumer services, offering a selection of local restaurants, bars and more.",429
Mashable,https://www.crunchbase.com/organization/mashable,"Digital Media, Media and Entertainment, News, Social Media, Social Network","New York, New York, United States",Mashable is a media company for the connected generation and voice of digital culture.,431
Mesosphere,https://www.crunchbase.com/organization/mesosphere,"Cloud Computing, Cloud Infrastructure, Data Center Automation, Enterprise Software","San Francisco, California, United States","Mesosphere offers elastically run containers and data services at scale, with complete hybrid cloud portability.",444
MongoDB,https://www.crunchbase.com/organization/mongodb-inc,"Cloud Computing, Database, Open Source, PaaS","New York, New York, United States",MongoDB is a next-generation database that helps businesses transform their industries by harnessing the power of data.,457
Marketo,https://www.crunchbase.com/organization/marketo,"Ad Targeting, Analytics, Brand Marketing, Enterprise Software, Lead Management, Marketing Automation","San Mateo, California, United States","Marketo develops marketing automation software that provides inbound marketing, social marketing, CRM, and other related services.",483
Modern Health,https://www.crunchbase.com/organization/modern-health,"Employee Benefits, Health Care, Wellness","San Francisco, California, United States",Modern Health is an emotional well-being platform for innovative companies that want to reduce burnout and prevent turnover.,511
Magenta Therapeutics,https://www.crunchbase.com/organization/magenta-therapeutics,"Biotechnology, Medical, Therapeutics","Cambridge, Massachusetts, United States",Magenta Therapeutics is a new biotechnology company developing therapeutics that unlock the power of stem cell biology.,523
