Organization Name,Organization Name URL,Categories,Headquarters Location,Description,CB Rank (Company)
Qumulo,https://www.crunchbase.com/organization/qumulo,"Big Data, Data Storage, Enterprise Software","Seattle, Washington, United States","Qumulo is a startup company developing simple, scalable, and efficient enterprise data storage systems.",152
Quora,https://www.crunchbase.com/organization/quora,"Information Services, Internet, Social Media","Mountain View, California, United States",Quora is a Q&A platform with a mission to share and grow the world's knowledge.,194
Qualtrics,https://www.crunchbase.com/organization/qualtrics,"Consumer, Market Research, SaaS","Provo, Utah, United States","Qualtrics is a single system of record for all experience data, managing customer, product, employee and brand experiences on one platform.",330
Qihoo 360 Technology,https://www.crunchbase.com/organization/qihoo-360-technology,"Internet, Mobile, Software","Beijing, Beijing, China","Qihoo 360 Technology offers internet and mobile security products, online advertising and internet value-added services in China.",568
Quotient Technology,https://www.crunchbase.com/organization/coupons-com,"Advertising, Coupons, Marketing","Mountain View, California, United States","Quotient (formerly Coupons.com) is a leading provider of digital promotions, media and shopper analytics.",577
Quantumscape,https://www.crunchbase.com/organization/quantumscape,Energy,"San Jose, California, United States",A better energy storage solution.,666
Quoine,https://www.crunchbase.com/organization/quoine,"Bitcoin, Cryptocurrency, Financial Services, FinTech","Singapore, Central Region, Singapore",Advanced Bitcoin Trading Platform *Margin Trading *Algo Trading.,711
Quartet,https://www.crunchbase.com/organization/quartet-health,"Health Care, Information Technology, Predictive Analytics","New York, New York, United States","Quartet is a technology company improving behavioral health delivery for patients, providers, and payers.",732
Qualcomm,https://www.crunchbase.com/organization/qualcomm,"Manufacturing, Mobile, Telecommunications, Wireless","San Diego, California, United States","Qualcomm designs, manufactures, and markets digital wireless telecommunications products and services.",742
Quantifeed,https://www.crunchbase.com/organization/quantifeed,"Finance, FinTech, Wealth Management","Hong Kong Island, Hong Kong, Asia",A leading provider of digital wealth management solutions to financial institutions in Asia.,803
Quovo,https://www.crunchbase.com/organization/quovo,"Analytics, Artificial Intelligence, Banking, Developer APIs, Financial Services, FinTech, Machine Learning, Wealth Management","New York, New York, United States",Quovo is a provider of account aggregation and data analytics technology for finance.,880
quip,https://www.crunchbase.com/organization/quip-2,"Beauty, Dental, Health Care","Brooklyn, New York, United States","quip designs and delivers oral care products, advice, and services.",947
Quikr,https://www.crunchbase.com/organization/quikr-india,"Classifieds, Internet, Rental Property","Mumbai, Maharashtra, India","Quikr is a free classifieds and online marketplace that helps users sell, buy, rent,or discover anything across India.",986
Quantcast,https://www.crunchbase.com/organization/quantcast,"Advertising, Internet, Software","San Francisco, California, United States",Quantcast helps create a more personalized digital world.,"1,249"
Quanergy Systems,https://www.crunchbase.com/organization/quanergy,"3D Technology, Autonomous Vehicles, Information Services, Information Technology, Mapping Services, Navigation, Robotics","Sunnyvale, California, United States",Quanergy offers LiDAR sensors and software to capture and process real-time 3D mapping data.,"1,357"
Qubit,https://www.crunchbase.com/organization/qubit,"Advertising, Analytics, Artificial Intelligence, Big Data, Data Mining, E-Commerce, Internet, Publishing","London, England, United Kingdom","Qubit gives marketers the tools to understand their visitors, and personalize their online presence to drive conversions in real time.","1,433"
QuEST Global Services,https://www.crunchbase.com/organization/quest-global-services,"Consulting, Manufacturing, Outsourcing, Software","Singapore, Central Region, Singapore","QuEST Global Services provides outsourced engineering services across the U.S.A., Europe and Asia.","1,438"
QASymphony,https://www.crunchbase.com/organization/qasymphony,"Developer Tools, Software","Atlanta, Georgia, United States","QASymphony is a leading agile software company that provides enterprise test case management, exploratory testing solutions for development.","1,530"
Quizlet,https://www.crunchbase.com/organization/quizlet,"EdTech, Education, Internet, Knowledge Management","San Francisco, California, United States",Quizlet is a consumer learning platform that uses activities and games to help students practice and master what they're learning.,"1,534"
Qtum,https://www.crunchbase.com/organization/qtum,"Apps, Enterprise Applications, Ethereum, Open Source","Singapore, Central Region, Singapore",Qtum is a Blockchain project that allows Decentralized Applications and Smart Contracts to execute as part of a UTXO transaction.,"1,576"
Quarterback Inc.,https://www.crunchbase.com/organization/quarterback-inc,"eSports, Social Media, Video Games, Video Streaming","Los Angeles, California, United States","Quarterback is an e-sports fan engagement platform that helps streamers, professional esports players and teams monetize their downtime.","1,673"
QxBranch,https://www.crunchbase.com/organization/qxbranch,"Analytics, Big Data, FinTech, Insurance, Software","Washington, District of Columbia, United States","QxBranch is a data analytics and software engineering company, with expertise in quantum computing","1,786"
Qunar.com,https://www.crunchbase.com/organization/qunar-com,"Internet, Search Engine, Travel","Beijing, Beijing, China",Qunar is a Chinese-language online travel information provider and mainland search engine for web-based and mobile users.,"1,792"
Qubole,https://www.crunchbase.com/organization/qubole,"Analytics, Big Data, Enterprise Software","Santa Clara, California, United States","Qubole delivers a Self-Service Platform for Big Data Analytics built on Amazon, Microsoft, Google and Oracle Clouds.","1,935"
"Qadium, Inc.",https://www.crunchbase.com/organization/qadium-solutions,"Cyber Security, Information Technology, Security, Software","San Francisco, California, United States",Qadium creates and organizes knowledge about the world's devices.,"2,062"
Quip,https://www.crunchbase.com/organization/quip,"Collaboration, Enterprise Software, Mobile, Mobile Devices","San Francisco, California, United States","Quip is a living document platform that combines docs, spreadsheets, and communication to help teams get work done faster and smarter.","2,122"
Qapital,https://www.crunchbase.com/organization/qapital,"Apps, FinTech, Personal Finance","New York, New York, United States","Qapital empowers people to maximize their happiness by saving, spending, and investing with goals in mind.","2,173"
Qualia,https://www.crunchbase.com/organization/qualia-labs-inc,"Enterprise Software, Finance, FinTech, Real Estate","San Francisco, California, United States","The Qualia platform transforms a real estate closing into a simple, secure, and delightful online experience.","2,190"
Qwil,https://www.crunchbase.com/organization/qwil,"Financial Services, FinTech, Payments","San Francisco, California, United States",Qwil - Instant Pay for Independent Contractors,"2,244"
Quidd,https://www.crunchbase.com/organization/quidd,"Consumer Software, Marketplace, Mobile Apps","Brooklyn, New York, United States","Quidd is the leading platform for buying, trading and using premium, rare digital goods. ","2,513"
Quit Genius,https://www.crunchbase.com/organization/quit-genius-87bd,"Fitness, Health Care, mHealth, Personal Health, Wellness","London, England, United Kingdom",Quit Genius is a gamified behavioural therapy app to help smokers quit.,"2,626"
Qardio,https://www.crunchbase.com/organization/qardio,"Artificial Intelligence, Big Data, Biotechnology, Consumer Electronics, Health Care, Machine Learning, Medical, Medical Device, SaaS","San Francisco, California, United States",Qardio is a digital health company offering smart innovative devices for better heart health management.,"2,702"
Qudian,https://www.crunchbase.com/organization/qufenqi,"Electronics, Lending, Payments, Retail","Beijing, Beijing, China",Installment payment and investment management platform,"2,773"
Qstream,https://www.crunchbase.com/organization/qstream,"Analytics, Enterprise Software, SaaS, Sales","Burlington, Massachusetts, United States","Qstream develops a mobile sales capabilities platform for brands in life sciences, technology, financial services, and healthcare.","3,311"
Quixey,https://www.crunchbase.com/organization/quixey,"Mobile, Mobile Apps, Search Engine","Mountain View, California, United States","Quixey, a mobile technology company, provides better access and engagement with apps.","3,577"
Quandl,https://www.crunchbase.com/organization/quandl,"Analytics, Cloud Data Services, Database, Developer APIs, Financial Services, FinTech, Internet, Marketplace","Toronto, Ontario, Canada","Quandl is the premier source for open, commercial, and alternative data, serving investment professionals.","3,814"
Qtrove,https://www.crunchbase.com/organization/springboard-ventures-qtrove,"Internet, Lifestyle","Bengaluru, Karnataka, India",Qtrove is a curated marketplace that exhibits and sells non-mass produced items from small entrepreneurs across the country. ,"3,893"
Qonto,https://www.crunchbase.com/organization/qonto,"Banking, Financial Services, FinTech","Paris, Ile-de-France, France",Modern banking for SMEs • Qonto provides a fully featured account with Mastercards and bookeeping tools to run a business efficiently.,"3,949"
Qyer.com,https://www.crunchbase.com/organization/qyer-com,"Internet, Travel","Beijing, Beijing, China","Qyer.com is a Chinese website that enables travel enthusiasts to write notes, exchange experiences, and more.","3,958"
Quantopian,https://www.crunchbase.com/organization/quantopian,"Financial Services, FinTech, Hedge Funds","Boston, Massachusetts, United States",Quantopian inspires talented people to write investment algos. Select authors may license their algos to us and get paid for performance.,"4,027"
Quiqup,https://www.crunchbase.com/organization/quiqup,"Consumer, Infrastructure, Logistics, Mobile Apps, Retail Technology","London, England, United Kingdom","Quiqup is building the next-generation, software-enabled logistics infrastructure for cities.","4,125"
Quess Corp,https://www.crunchbase.com/organization/quess-corp,"Information Technology, Recruiting, Software","Bengaluru, Karnataka, India","Quess Corp Ltd., India’s largest business services provider established in 2007.","4,295"
Qordoba,https://www.crunchbase.com/organization/qordoba,"Developer Tools, Enterprise Software, Machine Learning, SaaS, Text Analytics","San Francisco, California, United States",The Qordoba Strings Intelligence Platform: Manage all the words in your products,"4,351"
Quantifind,https://www.crunchbase.com/organization/quantifind,"Analytics, Big Data, SaaS, Software","Menlo Park, California, United States",Machine learning that focuses on what really matters: your bottom line,"4,676"
Quirky,https://www.crunchbase.com/organization/quirky,"Crowdsourcing, E-Commerce, Marketplace","New York, New York, United States",Quirky brings new consumer products to market by enabling interaction between the online global community and Quirky’s product design staff.,"4,803"
Quartzy,https://www.crunchbase.com/organization/quartzy,"Enterprise Software, Information Services, Information Technology","Palo Alto, California, United States","World’s No. 1 lab management platform, helping scientists easily organize orders, manage inventory, and save money. Free and always will be.","5,230"
Qwilt,https://www.crunchbase.com/organization/qwilt,"Cloud Computing, Content Delivery Network, Software, Video Streaming","Redwood City, California, United States",Qwilt develops pioneering video delivery technology to power the online entertainment revolution.,"5,272"
Quality Systems,https://www.crunchbase.com/organization/quality-systems,"Biotechnology, Health Care, Medical","Irvine, California, United States",Quality Systems develops healthcare information systems that automate medical and dental practices.,"5,315"
QuanticMind,https://www.crunchbase.com/organization/insidevault,"Advertising, Analytics, Digital Marketing, Machine Learning, Predictive Analytics, SaaS","Redwood City, California, United States",QuanticMind is a predictive advertising management software for paid search and social channels. ,"5,375"
Quandoo,https://www.crunchbase.com/organization/quandoo,"Internet, Local Business, Marketing, Reservations, SaaS","Berlin, Berlin, Germany","Quandoo, an online reservation platform, offers online channels and mobile apps to search, find and reserve restaurants in real-time.","5,516"
QuantCube Technology ,https://www.crunchbase.com/organization/quantcube-technology,"Analytics, Finance","Paris, Ile-de-France, France",QuantCube Technology is a Fintech startup specialized in real-time Big Data analytics for Finance and Economy.,"5,535"
Qover,https://www.crunchbase.com/organization/qover,"FinTech, Information Technology, Insurance, InsurTech","Brussels, Brussels Hoofdstedelijk Gewest, Belgium","Qover provides Insurance As A Service, allowing any business to integrate proprietary insurance products from our library via open API's.","5,708"
