Organization Name,Organization Name URL,Categories,Headquarters Location,Description,CB Rank (Company)
Deliveroo,https://www.crunchbase.com/organization/deliveroo,"Delivery, Food and Beverage, Restaurants, Same Day Delivery","London, England, United Kingdom","Deliveroo is a technology company that focuses on marketing, selling, and delivering restaurant meals to the household or office.",44
Didi Chuxing,https://www.crunchbase.com/organization/didi-dache,"Mobile Apps, Public Transportation, Ride Sharing, Transportation","Beijing, Beijing, China","Didi Chuxing is a mobile transportation platform, offering a full range of commuting options to 400 cities in China.",46
Drip Capital,https://www.crunchbase.com/organization/drip-capital,"Finance, Financial Services, FinTech","Palo Alto, California, United States",Drip Capital offers a unique trade financing product targeted towards SMEs in developing markets.,55
Dropbox,https://www.crunchbase.com/organization/dropbox,"Collaboration, Enterprise Software, File Sharing, Private Cloud, Web Hosting","San Francisco, California, United States","Dropbox provides secure file sharing, collaboration, and storage solutions.",77
Docker,https://www.crunchbase.com/organization/docker,"Cloud Computing, Enterprise Software, Open Source, SaaS","San Francisco, California, United States","Docker is a platform for distributed applications that allows developers and sysadmins to build, ship, and run distributed applications.",87
DST Global,https://www.crunchbase.com/organization/digital-sky-technologies-fo,"Finance, Financial Services, Venture Capital","Hong Kong, Hong Kong Island, Hong Kong",DST Global is an investment company that funds late-stage ventures in the global internet industry.,92
Dataminr,https://www.crunchbase.com/organization/dataminr,"Analytics, Artificial Intelligence, Enterprise Software, Financial Services, News, Public Safety, Security, Social Media, Software","New York, New York, United States",Dataminr's realtime AI platform discovers high impact events & critical breaking news far in advance of existing information systems,191
DraftKings,https://www.crunchbase.com/organization/draftkings,"Fantasy Sports, Online Games, Sports","Boston, Massachusetts, United States","DraftKings is a skill-based daily fantasy sports platform that allows fans to compete in single-day, online games for prizes.",193
Dollar Shave Club,https://www.crunchbase.com/organization/dollar-shave-club,"E-Commerce, Internet, Retail","Santa Monica, California, United States","Dollar Shave Club makes and delivers everything you need to look, feel, and shave like a million bucks.",231
Drillinginfo,https://www.crunchbase.com/organization/drillinginfo,"Analytics, Business Information Systems, Enterprise Software, Oil and Gas","Austin, Texas, United States",Drilling Info accelerates workflows and business critical decision processes in oil and gas industry.,235
DocuSign,https://www.crunchbase.com/organization/docusign,"Cloud Management, Computer, Digital Signage","San Francisco, California, United States","DocuSign helps small- and medium-sized businesses collect information, automate data workflows, and sign on various devices.",240
Databricks,https://www.crunchbase.com/organization/databricks,"Analytics, Enterprise Software, Open Source","San Francisco, California, United States","Databricks accelerates innovation by unifying analytics across data science, data engineering, and the business.",287
Degreed,https://www.crunchbase.com/organization/degreed,"Corporate Training, EdTech, Education, Internet, SaaS, Skill Assessment","San Francisco, California, United States",Degreed is an online service helping 3+ million people at over 150 organizations build the skills they need to invent the future.,303
Directly,https://www.crunchbase.com/organization/directly,"Artificial Intelligence, Customer Service, Machine Learning, Marketplace","San Francisco, California, United States",Directly's crowd-powered AI platform harnesses gig work models and AI to transform and scale customer service.,306
Duolingo,https://www.crunchbase.com/organization/duolingo,"E-Learning, Education, Internet, Language Learning","Pittsburgh, Pennsylvania, United States",Duolingo is a free language education platform that gamifies every lessons available in over 20 languages.,312
Duo Security,https://www.crunchbase.com/organization/duo-security,"Cloud Security, Computer, Cyber Security, Enterprise Software, Network Security","Ann Arbor, Michigan, United States",Duo Security is a cloud-based access security provider that protects the fastest-growing companies and thousands of organizations worldwide.,328
Darktrace,https://www.crunchbase.com/organization/darktrace,"Artificial Intelligence, Cyber Security, Information Technology, Machine Learning, Network Security","Cambridge, Cambridgeshire, United Kingdom",Darktrace is an artificial intelligence company for cyber security.,378
Datadog,https://www.crunchbase.com/organization/datadog,"Analytics, Information Technology, SaaS, Software","New York, New York, United States",Datadog offers monitoring and analytics for cloud-based workflows.,385
DigitalOcean,https://www.crunchbase.com/organization/digitalocean,"Cloud Computing, Virtualization, Web Hosting","New York, New York, United States",DigitalOcean is an IaaS company that delivers a seamless way for developers and businesses to deploy and scale any application in the cloud.,386
Devo,https://www.crunchbase.com/organization/logtrust-s-l,"Analytics, Big Data, Data Visualization, Enterprise Software, Information Technology, Internet of Things","Burlington, Massachusetts, United States",Devo is a cloud-based big data analytics platform for the digitized enterprise.,391
Domo,https://www.crunchbase.com/organization/domo,"Business Intelligence, Enterprise Software, SaaS, Software, Web Development","American Fork, Utah, United States","Domo optimizes your business by connecting you to the data, people, and expertise you need to improve business results.",455
Donuts,https://www.crunchbase.com/organization/donuts,"Domain Registrar, Enterprise Software, Information Technology, Internet, Web Browsers","Bellevue, Washington, United States",Donuts is a domain name registry offering new domain names in multiple languages and character sets.,554
Decibel Therapeutics,https://www.crunchbase.com/organization/decibel-therapeutics,"Biotechnology, Medical Device, Therapeutics","Cambridge, Massachusetts, United States","Decibel Therapeutics is a hearing company focused on discovering and developing new medicines to protect, repair and restore hearing.",587
DemystData,https://www.crunchbase.com/organization/demystdata,"Analytics, Big Data, Financial Services","Singapore, Central Region, Singapore",Our mission is to unlock global financial services by providing actionable access to high quality customer information.,588
Deutsche Bank,https://www.crunchbase.com/organization/deutsche-bank,"Banking, Finance, Financial Services","Frankfurt, Hessen, Germany","Deutsche Bank, a Frankfurt-based global investment bank, offers financial products and services to corporate and institutional clients.",593
DailyNinja,https://www.crunchbase.com/organization/daily-ninja,Apps,"Bengaluru, Karnataka, India","Daily Ninja, a mobile app that delivers daily needs on a subscription model",599
Dialpad,https://www.crunchbase.com/organization/dialpad,"Meeting Software, Mobile, Mobile Apps, Software, Telecommunications, Unified Communications, Web Development","San Francisco, California, United States",Dialpad's mission is to make business communications great.,613
Discord,https://www.crunchbase.com/organization/discord,"Apps, Gaming, Mobile, Video Chat","San Francisco, California, United States","Discord is a voice, video, and text chat app designed specifically for gamers.",626
Delivery Hero,https://www.crunchbase.com/organization/delivery-hero,"Delivery, Food Delivery, Hospitality, Internet, Same Day Delivery","Berlin, Berlin, Germany",Delivery Hero is a network of online food ordering sites with over 100 restaurant partners worldwide.,658
Drive.ai,https://www.crunchbase.com/organization/drive-ai,"Artificial Intelligence, Automotive, Autonomous Vehicles, Machine Learning, Robotics, Software","Mountain View, California, United States",Drive.ai creates AI software for autonomous vehicles.,663
Dimension Data,https://www.crunchbase.com/organization/dimension-data,"Enterprise Software, Information Services, Information Technology, Mobile, Mobile Devices, Software","Bryanston, NA - South Africa, South Africa",Dimension Data uses the power of technology to help organisations achieve great things in the digital era.,709
Dexcom,https://www.crunchbase.com/organization/dexcom,"Enterprise Software, Hardware, Health Care","San Diego, California, United States","Dexcom develops, manufactures and distributes continuous glucose monitoring systems for diabetes management.",715
Deep Instinct,https://www.crunchbase.com/organization/deep-instinct,"Artificial Intelligence, Cyber Security, Machine Learning, Network Security, Security","New York, New York, United States","Deep Instinct applies deep learning to cybersecurity, offering unmatched zero-day attack protection.",728
Dashlane,https://www.crunchbase.com/organization/dashlane,"Cloud Computing, Identity Management, Payments, Privacy, Security, Software","New York, New York, United States","Dashlane offers a password manager and secure digital wallet for Mac, PC, iPhone, iPad, Android phones, and tablets including Kindle Fire.",737
Dish Network,https://www.crunchbase.com/organization/dish-network,"Audio, Consumer Electronics, Telecommunications","Englewood, Colorado, United States","Dish Network is a satellite service provider that offers satellite television, audio programming, and interactive television services.",741
D-Wave Systems,https://www.crunchbase.com/organization/d-wave-systems,"Electronics, Manufacturing, Semiconductor","Burnaby, British Columbia, Canada",D-Wave Systems designs and manufactures quantum computing and superconducting electronics.,765
DroneDeploy,https://www.crunchbase.com/organization/dronedeploy,"Drones, Internet of Things, Mapping Services, Robotics, SaaS, Software","San Francisco, California, United States",DroneDeploy is a cloud-based drone mapping and analytics platform to help businesses get things done.,770
DataRobot,https://www.crunchbase.com/organization/datarobot,"Artificial Intelligence, Enterprise Software, Information Technology, Machine Learning, Predictive Analytics, SaaS","Boston, Massachusetts, United States",DataRobot provides a predictive analytics platform to rapidly build and deploy predictive models the cloud or an enterprise.,848
Datrium,https://www.crunchbase.com/organization/datrium,"Data Storage, Enterprise Software, IaaS","Sunnyvale, California, United States",Datrium provides Open Convergence for private clouds.,863
DoubleMe,https://www.crunchbase.com/organization/doubleme,"3D Technology, Augmented Reality, Digital Entertainment, Digital Media, Software, Video Games, Virtual Reality, Virtual World","Sunnyvale, California, United States",Holographic Mixed Reality Platform ,869
Digital Reasoning,https://www.crunchbase.com/organization/digital-reasoning-systems,"Analytics, Artificial Intelligence, Big Data, Machine Learning, Natural Language Processing, Software, Text Analytics","Franklin, Tennessee, United States",Digital Reasoning is a leader in Cognitive Computing for the Enterprise.,885
Druva,https://www.crunchbase.com/organization/druva-software,"Cloud Data Services, Compliance, Data Storage, Enterprise Software","Sunnyvale, California, United States",Druva offers a cloud-first platform for data availability and information governance.,899
