Organization Name,Organization Name URL,Categories,Headquarters Location,Description,CB Rank (Company)
Hired,https://www.crunchbase.com/organization/hired,"Internet, Marketplace, Recruiting, Staffing Agency","San Francisco, California, United States",Hired is a career marketplace that matches tech talent with innovative companies.,66
Honor,https://www.crunchbase.com/organization/honor-2,"Home Health Care, Information Services, Information Technology, Mobile","San Francisco, California, United States", Honor provides personalized home care for people who want to continue to live in the homes they love—safely and happily—as they age.,98
HMD,https://www.crunchbase.com/organization/hmd-global-oy,"Consumer Electronics, Manufacturing, Mobile Devices","Helsinki, Southern Finland, Finland","HMD global founded to create new generation of Nokia-branded smartphones, feature phones and tablets.",176
Hulu,https://www.crunchbase.com/organization/hulu,"Content, Film, TV, Video","Los Angeles, California, United States","Hulu is an online video service that offers a selection of hit shows, clips, movies, and documentaries through its website. ",207
Hello Alfred,https://www.crunchbase.com/organization/alfred,"Grocery, Home Services, Hospitality, Laundry and Dry-cleaning, Professional Services, Retail, Smart Home","New York, New York, United States",Hello Alfred is a New York-based disruptive commerce channel.,242
HelloFresh,https://www.crunchbase.com/organization/hellofresh,"Consumer, Cooking, Food Delivery, Subscription Service","Berlin, Berlin, Germany",HelloFresh is a food subscription company that sends pre-portioned ingredients to users’ doorstep each week.,255
HubSpot,https://www.crunchbase.com/organization/hubspot,"Analytics, Information Technology, Marketing, Social Media","Cambridge, Massachusetts, United States","HubSpot develops cloud-based, inbound marketing software that allows businesses to transform the way that they market online.",256
Hinge,https://www.crunchbase.com/organization/hinge,"Android, Dating, Internet, Mobile, Social Media","New York, New York, United States",Hinge is a social discovery network helping users meet new people through application.,259
HQTrivia,https://www.crunchbase.com/organization/hqtrivia,"Apps, Gaming, iOS","New York, New York, United States",HQ Trivia is a live trivia game played through an iOS app.,261
Hortonworks,https://www.crunchbase.com/organization/hortonworks,"Big Data, Enterprise Software, Software","Santa Clara, California, United States",Hortonworks is a business computer software company that focuses on the development and support of Apache Hadoop.,298
Honest Buildings,https://www.crunchbase.com/organization/honest-buildings,"Commercial Real Estate, Construction, Real Estate","New York, New York, United States","Data-driven project management and procurement platform for real estate owners. Centralize data, automate bidding and standardize reporting.",419
Humacyte,https://www.crunchbase.com/organization/humacyte,"Biotechnology, Medical, Medical Device","Morrisville, North Carolina, United States",Humacyte develops products for vascular diseases and replacement of anatomical conduits.,430
Home24 AG,https://www.crunchbase.com/organization/home24,"E-Commerce, Furniture, Internet, Lighting","Berlin, Berlin, Germany",Home24 is an online platform that enables consumers to find and purchase home furniture and decor.,496
Homebase,https://www.crunchbase.com/organization/homebase,"Human Resources, Local, Small and Medium Businesses","San Francisco, California, United States",Homebase is the easiest way to track hours and schedule.,501
Huawei Technologies,https://www.crunchbase.com/organization/huawei,"Mobile, Security, Web Hosting, Wireless","Shenzhen, Guangdong, China","Huawei Technologies provides infrastructure application software and devices with wireline, wireless, and IP technologies.",512
HuoBi,https://www.crunchbase.com/organization/huobi,"Bitcoin, Cryptocurrency, FinTech, Mobile, Personal Finance","Beijing, Beijing, China","Huobi.com is a global leading blockchain asset financial services provider including exchange, trade, wallet, and storage.",527
HomeAway,https://www.crunchbase.com/organization/homeaway,"Advertising, Tourism, Travel","Austin, Texas, United States","HomeAway offers a platform in which travelers can browse and book vacation homes, and rental owners can advertise and manage bookings.",584
homelane,https://www.crunchbase.com/organization/homelane,"Interior Design, Internet, Manufacturing","Bangalore, Karnataka, India","HomeLane is India’s leading end to end, vertically integrated interior design and manufacturing provider.",605
Horizon Technology Finance,https://www.crunchbase.com/organization/horizon-technology-finance,Financial Services,"Farmington, Connecticut, United States",We are a specialty finance company that lends to and invests in development-stage companies in the technology.,655
Honeywell International,https://www.crunchbase.com/organization/honeywell,"Electronics, Information Technology, Innovation Management, Manufacturing, Software","Morristown, New Jersey, United States","Honeywell International is a technology and manufacturing company that offers energy, safety, and security solutions and technologies.",657
HackerOne,https://www.crunchbase.com/organization/hackerone,"Computer, Internet, Network Security","San Francisco, California, United States",HackerOne is a bug bounty and vulnerability coordination platform.,683
HNA Group,https://www.crunchbase.com/organization/hna-group,"Aerospace, Finance, Travel","Haikou, Hainan, China","HNA Group is a conglomerate of different industries, comprised of arms in travel, finance, and other business holdings.",696
Home Chef,https://www.crunchbase.com/organization/relished,"Delivery, Food and Beverage, Restaurants","Chicago, Illinois, United States","Meal kit company delivering fresh, proportioned ingredient and recipes.",710
Herb,https://www.crunchbase.com/organization/herb,"Health Care, Medical, Wellness","Denver, Colorado, United States",Herb is a Cannabis website and community that curates and understands cannabis as a medicine and therapeutic herb.,758
Headspace,https://www.crunchbase.com/organization/headspace,"Events, Fitness, Health Care, Mobile Apps, Wellness","Santa Monica, California, United States","Headspace is a digital health platform, providing guided meditation sessions and mindfulness training.",838
Health Catalyst,https://www.crunchbase.com/organization/health-catalyst,"Analytics, Computer, Enterprise Software, Health Care, Information Technology, Software","Salt Lake City, Utah, United States",Health Catalyst is a tech platform that organizes and links health-related data from different systems and makes it available for all users.,852
H&M Clothing Company,https://www.crunchbase.com/organization/h-m-clothing-company,"Customer Service, Fashion, Retail","Stockholm, Stockholms Lan, Sweden","H&M Clothing Company is a Swedish multinational retail-clothing company, known for its fast-fashion clothing for men and women.",883
Hudson’s Bay Company (HBC),https://www.crunchbase.com/organization/hudson-s-bay,"E-Commerce, Retail, Wholesale","Brampton, Ontario, Canada","Hudson’s Bay Company (HBC), founded in 1670, is North America’s longest continually operated company.",891
HealthEngine,https://www.crunchbase.com/organization/healthengine,"Dental, Health Care, Marketplace, Medical, SaaS, Software","Perth, Western Australia, Australia","HealthEngine is an online destination for healthcare that allows patients to find, book, and manage their medical appointments.",983
Hootsuite,https://www.crunchbase.com/organization/hootsuite,"Advertising, Apps, Brand Marketing, Messaging, Social Media","Vancouver, British Columbia, Canada","Hootsuite is the world's most widely used platform for managing social media. Over 15 million users, including 800+ of the Fortune 1000.","1,044"
Hudl,https://www.crunchbase.com/organization/hudl,"Software, Sports, Video","Lincoln, Nebraska, United States",Hudl is a platform and software that provides video analysis and coaching tools for sports teams.,"1,142"
Hims,https://www.crunchbase.com/organization/hims,"Health Care, Men's, Wellness",,Hims is a men's wellness brand helping guys get access to the best that science has to offer. ,"1,171"
Hailo,https://www.crunchbase.com/organization/hailo,"Apps, Automotive, Location Based Services, Mobile, Real Time, Transportation","London, England, United Kingdom",Hailo is an easy-to-use free smartphone app that allows passengers to get a taxi or licensed car quicker.,"1,181"
HackerRank,https://www.crunchbase.com/organization/hackerrank,"Employment, Recruiting, Skill Assessment","Palo Alto, California, United States",HackerRank is a technical hiring platform that helps businesses evaluate software developers based on skill.,"1,193"
HSBC,https://www.crunchbase.com/organization/hsbc,"Banking, Insurance, Retail, Security","London, England, United Kingdom",HSBC is a British banking and financial services organization that offers a comprehensive range of services.,"1,198"
Houseparty,https://www.crunchbase.com/organization/life-on-air,"Internet, Mobile, Video, Video Chat","San Francisco, California, United States",Houseparty is a mobile video application that connects people in the most human way possible when they are physically apart.,"1,207"
