Organization Name,Organization Name URL,Categories,Headquarters Location,Description,CB Rank (Company)
AppNexus,https://www.crunchbase.com/organization/appnexus,"Ad Network, Advertising, Internet, Service Industry","New York, New York, United States",AppNexus is a technology company whose cloud-based software platform enables and optimizes programmatic online advertising.,11
Arizona State University,https://www.crunchbase.com/organization/arizona-state-university,"Education, Non Profit, Universities","Tempe, Arizona, United States","A public metropolitan research university located on several campuses spread across the Phoenix, Arizona, Metropolitan Area.",15
Adyen,https://www.crunchbase.com/organization/adyen,"Financial Services, Mobile Payments, Payments","Amsterdam, Noord-Holland, The Netherlands",Adyen is a multichannel payment company outsourcing payment services to international merchants.,19
Alibaba,https://www.crunchbase.com/organization/alibaba,"B2B, E-Commerce, Internet, Marketplace, Shopping","Hangzhou, Zhejiang, China",Alibaba is a Chinese e-commerce company operating online marketplaces for both international and domestic China trade.,27
Allianz,https://www.crunchbase.com/organization/allianz,"Financial Services, Insurance, Intellectual Property","München, Bayern, Germany",Allianz offers a comprehensive range of insurance and asset management products and services to approximately 78 million customers in more,38
Ant Financial,https://www.crunchbase.com/organization/alipay,"Banking, E-Commerce, Financial Services, FinTech, Payments, Wealth Management","Hangzhou, Zhejiang, China",Ant Financial is an online payment services provider that enables individuals and businesses to execute payments online in a secure manner.,45
Adaptive Insights,https://www.crunchbase.com/organization/adaptive-insights,"Analytics, Business Intelligence, Cloud Computing, Data Visualization, Enterprise Software, Finance, SaaS","Palo Alto, California, United States",Adaptive Insights is powering a new generation of business planning with the Business Planning Cloud. ,59
Aurora Cannabis,https://www.crunchbase.com/organization/aurora-cannabis,"Marijuana, Medical, Pharmaceutical","Cremona, Alberta, Canada",Aurora Cannabis is a medical marijuana producer.,74
Avalara,https://www.crunchbase.com/organization/avalara,"E-Commerce, Enterprise Software, Software","Seattle, Washington, United States",Avalara helps businesses get tax compliance right.,83
Airbnb,https://www.crunchbase.com/organization/airbnb,"Hospitality, Marketplace, Sharing Economy, Travel, Travel Accommodations","San Francisco, California, United States","Airbnb is an online community marketplace for people to list, discover, and book accommodations around the world.",97
Aaptiv,https://www.crunchbase.com/organization/aaptiv,"Apps, Audio, Content, Fitness, Mobile","New York, New York, United States",Aaptiv is a provider of premium digital health and wellness content.,107
Apple,https://www.crunchbase.com/organization/apple,"Consumer Electronics, Electronics, Hardware, Retail","Cupertino, California, United States","Apple is a multinational corporation that designs, manufactures, and markets consumer electronics, personal computers, and software.",121
AccorHotels,https://www.crunchbase.com/organization/accor,"Hospitality, Location Based Services, Tourism, Travel","Paris, Ile-de-France, France","Accor, European leader in hotels and tourism, global leader in corporate services, operates in nearly 100 countries with 150,000 employees.",124
Airtel,https://www.crunchbase.com/organization/bharti-airtel-ltd,"Mobile, Public Relations, Telecommunications","New Delhi, Delhi, India","Airtel is a global telecommunications company that provides mobile, voice, and data solutions.",165
Avi Networks,https://www.crunchbase.com/organization/avi-networks-inc,"Analytics, Cloud Data Services, Cloud Infrastructure","Santa Clara, California, United States","Avi Networks drives automation and intelligence across multi-cloud environments with intent-based application services, including LB and WAF",172
Acorns,https://www.crunchbase.com/organization/acorns-grow,"Apps, Finance, Financial Services, FinTech, Mobile, Wealth Management","Irvine, California, United States",Acorns is a finance company that allows individuals to round up purchases and automatically invest the change.,183
Aye Finance,https://www.crunchbase.com/organization/aye-finance,"Finance, Financial Services, Small and Medium Businesses","Gurgaon, Haryana, India",Aye Finance provides financial services to micro and small businesses in Northern India.,188
AlphaPoint,https://www.crunchbase.com/organization/alphapoint,"Bitcoin, Cryptocurrency, Financial Exchanges, Financial Services, FinTech, Insurance, Software","New York, New York, United States","AlphaPoint is powers digital asset networks and provides institutions a Distributed Ledger Platform to digitize, trade and manage any asset.",200
Accruent,https://www.crunchbase.com/organization/accruent,"Asset Management, Building Maintenance, Commercial Real Estate, Energy Management, Enterprise Software, Facilities Support Services, Internet of Things, Medical Device, Project Management, Real Estate, Retail Technology","Austin, Texas, United States",Accruent is a global software company that helps organizations transform how they manage their physical resources.,204
Agari,https://www.crunchbase.com/organization/agari-data,"Cyber Security, Fraud Detection, Network Security, SaaS, Security","Foster City, California, United States",Agari is the only cloud-native solution that uses predictive AI to stop advanced email attacks.,220
Atlassian,https://www.crunchbase.com/organization/atlassian,"Collaboration, Developer Tools, Enterprise Software","Sydney, New South Wales, Australia","Atlassian provides collaboration software for teams with products including JIRA, Confluence, HipChat, Bitbucket, and Stash.",224
Automattic,https://www.crunchbase.com/organization/automattic,"Blogging Platforms, Content, Internet",,"Automattic develops publishing platforms, including the WordPress.com website and the VIP WordPress.com cloud version.",249
