Organization Name,Organization Name URL,Categories,Headquarters Location,Description,CB Rank (Company)
Coinbase,https://www.crunchbase.com/organization/coinbase,"Bitcoin, Blockchain, Cryptocurrency, E-Commerce, Ethereum, FinTech, Personal Finance, Virtual Currency","San Francisco, California, United States",Coinbase is a digital currency wallet service that allows traders to buy and sell bitcoin.,4
CrowdStrike,https://www.crunchbase.com/organization/crowdstrike,"Cyber Security, Machine Learning, Network Security, SaaS, Security","Sunnyvale, California, United States",CrowdStrike is a cybersecurity technology firm pioneering cloud delivered next-generation endpoint protection and services.,35
Cohesity,https://www.crunchbase.com/organization/cohesity,"Analytics, Cloud Computing, Data Center, Data Storage, Information Technology","San Jose, California, United States","Cohesity delivers the industry’s first hyperconverged secondary storage for backup, test/dev, file services, and analytic datasets.",36
Crunchbase,https://www.crunchbase.com/organization/crunchbase,"Analytics, Big Data, Business Intelligence, Communities, Venture Capital","San Francisco, California, United States",Crunchbase allows users to discover innovative companies and the people behind them.,50
Cylance,https://www.crunchbase.com/organization/cylance,"Artificial Intelligence, Consulting, Cyber Security, Enterprise Software, Machine Learning, Network Security, Penetration Testing","Irvine, California, United States",Cylance is a global provider of cybersecurity products and services to solve security problems.,53
Cruise Automation,https://www.crunchbase.com/organization/cruise,"Automotive, Autonomous Vehicles, Robotics, Sensor, Travel","San Francisco, California, United States",Cruise Automation is a self-driving car company that develops an autopilot system for existing cars.,76
Claroty,https://www.crunchbase.com/organization/claroty,"Cyber Security, Industrial, Network Security, Security","New York, New York, United States",Claroty is a cybersecurity software company focused on protecting industrial control networks  (ICS - A.K.A OT or Operational Technology),111
Careem,https://www.crunchbase.com/organization/careem,"Logistics, Public Transportation, Transportation","Dubai, Dubai, United Arab Emirates","Careem is an app-based car service that seeks to provide reliable, convenient, and affordable urban transport.",150
CenturyLink,https://www.crunchbase.com/organization/centurylink,"Big Data, Telecommunications, VoIP","Monroe, Louisiana, United States","CenturyLink is a telecommunications company providing broadband, voice and wireless services to consumers and businesses.",178
Casper,https://www.crunchbase.com/organization/casper,"E-Commerce, Hardware, Lifestyle, Retail","New York, New York, United States",Casper is a global sleep company that launched in 2014 offering perfect mattresses directly to consumers.,179
Curbside,https://www.crunchbase.com/organization/curbside,"E-Commerce, Internet, Location Based Services, Mobile, Retail, Software Engineering","Palo Alto, California, United States","Curbside is a United States-based company developing a mobile application to find, buy, and pick up products from stores.",186
Crowdcube,https://www.crunchbase.com/organization/crowdcube,"Crowdfunding, Finance, FinTech, Funding Platform, Venture Capital","Exeter, Devon, United Kingdom",Crowdcube enables individuals to invest or loan in small companies in return for equity or an annual return.,192
Chain,https://www.crunchbase.com/organization/chain-2,"Developer Platform, Enterprise, FinTech","San Francisco, California, United States","Chain builds cryptographic ledger systems that make financial services smarter, more secure, and more connected",213
Calm,https://www.crunchbase.com/organization/calm-com,"Leisure, Mobile, Personal Health","San Francisco, California, United States",Calm provides applications for individuals to relax their minds.,218
Cloudflare,https://www.crunchbase.com/organization/cloudflare,"Ad Server, Advertising, Analytics, Enterprise Software, Security, Web Hosting","San Francisco, California, United States",Cloudflare is a web performance and security company that provides online services to protect and accelerate websites online.,223
Convoy,https://www.crunchbase.com/organization/convoy-3,"Logistics, Marketplace, Service Industry, Transportation, Virtual Goods","Seattle, Washington, United States",Full-service trucking - Convoy uses the latest technology to connect shippers with nearby carriers and book jobs instantly.,237
Chime,https://www.crunchbase.com/organization/chime-2,"Banking, Debit Cards, E-Commerce, FinTech, Mobile Payments","San Francisco, California, United States","Chime helps members avoid bank fees, save money automatically, and lead healthier financial lives.",243
comScore,https://www.crunchbase.com/organization/comscore,"Analytics, Consumer, Test and Measurement","Reston, Virginia, United States","comScore is a cross-platform measurement company that measures audiences, brands, and consumer behavior.",260
Complex,https://www.crunchbase.com/organization/complex,"Lifestyle, Printing, Publishing","New York, New York, United States","Complex is an online magazine that features articles about music, styles, pop culture, sports, and sneakers.",301
Coffee Meets Bagel,https://www.crunchbase.com/organization/coffee-meets-bagel,"Apps, Dating, Mobile","San Francisco, California, United States",Coffee Meets Bagel is an online dating site that connects individuals with a 'friend-of-a-friend' match every day.,304
Canopy Growth,https://www.crunchbase.com/organization/canopy-growth,"Health Care, Marijuana, Medical, Pharmaceutical","Smiths Falls, Ontario, Canada",Canopy Growth is a diversified producer of medical cannabis.,305
Cvent,https://www.crunchbase.com/organization/cvent,"Business Intelligence, Event Management, Events, Hospitality, Information Technology, Media and Entertainment, Meeting Software, Procurement, Software","Mclean, Virginia, United States",Cvent is an event management platform enabling planners to manage all aspects of an event.,309
