Organization Name,Organization Name URL,Categories,Headquarters Location,Description,CB Rank (Company)
Opendoor,https://www.crunchbase.com/organization/opendoor-2,"Internet, Property Management, Real Estate","San Francisco, California, United States",Opendoor is an online home-selling service aimed at streamlining the sales process down to a few days.,24
OutSystems,https://www.crunchbase.com/organization/outsystems,"Developer Tools, Enterprise Software, Mobile, Mobile Apps, PaaS, Web Development","Atlanta, Georgia, United States",OutSystems is the #1 low-code platform for building enterprise apps incredibly fast.  ,110
OurCrowd,https://www.crunchbase.com/organization/ourcrowd,"Angel Investment, Crowdfunding, Funding Platform, Impact Investing, Venture Capital","Jerusalem, Yerushalayim, Israel","OurCrowd breaks barriers to startup investing, providing global, VC-level dealflow, due diligence and terms to accredited investors.",115
Okta,https://www.crunchbase.com/organization/okta,"Enterprise, Enterprise Software, Identity Management, Security","San Francisco, California, United States",Okta is a foundation for secure connections between people and technology.,156
Ola,https://www.crunchbase.com/organization/ola,"Apps, E-Commerce, Internet, Mobile, Ride Sharing, Transportation","Bengaluru, Karnataka, India",Ola is a mobile app for cab booking in India.,167
"OneLogin, Inc.",https://www.crunchbase.com/organization/onelogin,"Cloud Security, Enterprise Software, Identity Management, Information Technology","San Francisco, California, United States",OneLogin is a cloud identity and access management solution that enables enterprises to secure all apps for their users on all devices.,181
oBike,https://www.crunchbase.com/organization/obike,"Recreation, Transportation, Travel","Singapore, Asia",Singapore's first homegrown station-less smart bike-sharing company .,187
Oscar Health,https://www.crunchbase.com/organization/oscar,"Health Care, Information Technology, Insurance","New York, New York, United States","Oscar is a health insurance company that employs technology, design, and data to humanize health care.",228
Outbrain,https://www.crunchbase.com/organization/outbrain,"Content Discovery, Content Marketing, Digital Marketing, Internet","New York, New York, United States",Outbrain is a content discovery platform providing publishers a service for recommended links to increase traffic and generate revenue.,254
OYO,https://www.crunchbase.com/organization/oyo-rooms,"Hospitality, Hotel, Leisure, Travel","Gurgaon, Haryana, India","OYO is a hotel chain operating in more than 150 cities across India, Malaysia, China and Nepal. ",347
ofo,https://www.crunchbase.com/organization/ofo,"Cycling, Public Transportation, Ride Sharing, Transportation","Haidian, Beijing, China",Ofo is a station-free bike-sharing platform operated via an online mobile application.,362
Olympus Corporation,https://www.crunchbase.com/organization/olympus-corporation,"Consumer Electronics, Hardware, Software","Tokyo, Tokyo, Japan",Olympus Corporation manufactures and sells precision machineries and instruments worldwide.,427
Oval Money,https://www.crunchbase.com/organization/oval-money,"Apps, Finance, FinTech","London, England, United Kingdom",Oval offers an app for financial coaching and planning that helps people save according to their rules.,451
OWKIN,https://www.crunchbase.com/organization/owkin-2,"Artificial Intelligence, Biotechnology, Software","New York, New York, United States",Machine learning for medical research.,562
One97 Communication,https://www.crunchbase.com/organization/one97-communications,"Internet, Mobile Advertising, Mobile Payments","Noida, Uttar Pradesh, India",One97 delivers mobile content and commerce services to millions of mobile consumers.,573
Oxford Space Systems,https://www.crunchbase.com/organization/oxford-space-systems,"Aerospace, Hardware","Harwell, Oxfordshire, United Kingdom",OSS Is a space technology business that provides multi-award winning deployable antennas & structures made from proprietary materials.,643
OnTruck,https://www.crunchbase.com/organization/ontruck,"Logistics, Packaging Services, Transportation","Madrid, Madrid, Spain","OnTruck is is an innovation oriented logistics and transport company, born with the ambition to make shipment of goods.",644
OpenText Corporation,https://www.crunchbase.com/organization/opentext,"Information Services, Information Technology, Software","Waterloo, Ontario, Canada",OpenText provides enterprise information management software solutions to help companies manage their unstructured business information.,648
Ocado Group,https://www.crunchbase.com/organization/ocado,"Grocery, Online Portals, Retail","Hatfield, Hertford, United Kingdom",Ocado is an online grocery retailer.,651
Omada Health,https://www.crunchbase.com/organization/omada-health,"Health Care, Medical, Therapeutics","San Francisco, California, United States",A digital behavioral medicine company dedicated to inspiring and empowering people everywhere to live free of chronic illiness.,681
OfferPad,https://www.crunchbase.com/organization/offerpad,"Internet, Real Estate","Gilbert, Arizona, United States","OfferPad is the leading on-demand, tech-enabled direct home buyer and seller.",727
Odyssey,https://www.crunchbase.com/organization/odyssey-inc,"Journalism, News, Social Media","Indianapolis, Indiana, United States","Hear people. Bringing complete, broader, trusted ideas to the world.",825
Orbbec,https://www.crunchbase.com/organization/orbbec,Robotics,"Seattle, Washington, United States","The Orbbec mission is to create intelligent technologies for every human, everywhere through 3D image sensors and smart cameras.",830
Outreach,https://www.crunchbase.com/organization/outreach,"CRM, Enterprise, Enterprise Software, Recruiting, SaaS, Sales","Seattle, Washington, United States",Outreach is a customer engagement platform that accelerates revenue growth by optimizing interactions throughout the customer lifecycle.,841
ONE Championship,https://www.crunchbase.com/organization/one-championship,"Broadcasting, Media and Entertainment, News, Sports","Singapore, Central Region, Singapore",ONE Championship is a sports media company.,928
Onfido,https://www.crunchbase.com/organization/onfido,"Compliance, FinTech, Identity Management, Information Technology, Internet, Security, Software","London, England, United Kingdom",Onfido builds trust in an online world by helping businesses digitally verify people’s identities.,960
